metric_id,sido,sigungu,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12,PM10_연평균,PM10_봄,PM10_여름,PM10_가을,PM10_겨울,pre_outlier_cleaned_value,score_100
pm10,충청북도,옥천,31.0,24.0,38.0,39.0,23.0,22.0,14.0,18.0,13.0,17.0,23.0,29.0,24.25,33.33,18.0,17.67,28.0,24.25,72.1
pm10,충청북도,영동,29.0,24.0,40.0,40.0,26.0,24.0,14.0,16.0,12.0,16.0,21.0,26.0,24.0,35.33,18.0,16.33,26.33,24.0,73.35
pm10,충청북도,증평,,27.0,42.0,46.0,27.0,27.0,16.0,18.0,13.0,21.0,26.0,32.0,26.82,38.33,20.33,20.0,29.5,26.82,59.25
pm10,충청북도,보은,31.0,24.0,41.0,45.0,28.0,26.0,14.0,17.0,14.0,17.0,23.0,30.0,25.83,38.0,19.0,18.0,28.33,25.83,64.2
pm10,충청북도,도평균,37.0,30.0,47.0,49.0,29.0,28.0,17.0,20.0,15.0,21.0,27.0,33.0,29.42,41.67,21.67,21.0,33.33,29.42,46.25
pm10,충청남도,천안,42.0,41.0,56.0,57.0,34.0,33.0,18.0,26.0,19.0,27.0,34.0,36.0,35.25,49.0,25.67,26.67,39.67,35.25,17.1
pm10,충청남도,당진,43.0,37.0,56.0,58.0,37.0,33.0,18.0,29.0,22.0,34.0,37.0,36.0,36.67,50.33,26.67,31.0,38.67,36.67,10.0
pm10,충청남도,서산,35.0,33.0,48.0,48.0,26.0,26.0,18.0,24.0,19.0,26.0,29.0,25.0,29.75,40.67,22.67,24.67,31.0,29.75,44.6
pm10,충청남도,아산,41.0,39.0,55.0,57.0,36.0,32.0,17.0,27.0,20.0,29.0,34.0,34.0,35.08,49.33,25.33,27.67,38.0,35.08,17.95
pm10,충청남도,논산,38.0,36.0,43.0,47.0,29.0,29.0,16.0,21.0,17.0,25.0,26.0,31.0,29.83,39.67,22.0,22.67,35.0,29.83,44.2
pm10,충청남도,태안,33.0,31.0,45.0,44.0,26.0,26.0,25.0,27.0,21.0,26.0,27.0,27.0,29.83,38.33,26.0,24.67,30.33,29.83,44.2
pm10,충청남도,보령,33.0,32.0,41.0,41.0,26.0,24.0,16.0,21.0,17.0,25.0,29.0,27.0,27.67,36.0,20.33,23.67,30.67,27.67,55.0
