metric_id,rank,sido,sigungu,population,wifi_count,raw_value,pre_outlier_cleaned_value,score_100
public_wifi,106,전북특별자치도,진안군,24161.0,49,20.280617524109104,20.280617524109104,13.358450217803197
public_wifi,8,제주특별자치도,서귀포시,182020.0,1647,90.48456213602901,90.48456213602901,62.156428100198724
public_wifi,49,제주특별자치도,제주시,488348.0,1748,35.79414679695627,35.79414679695627,24.141731164750958
public_wifi,28,충청남도,계룡시,46540.0,249,53.502363558229476,53.502363558229476,36.4505148752685
public_wifi,22,충청남도,공주시,101285.0,621,61.31213901367428,61.31213901367428,41.87900257703454
public_wifi,94,충청남도,금산군,49615.0,116,23.380026201753502,23.380026201753502,15.512814576334074
public_wifi,113,충청남도,논산시,108529.0,205,18.888960554321887,18.888960554321887,12.391124999726665
public_wifi,188,충청남도,당진시,171931.0,95,5.525472427892584,5.525472427892584,3.102313642616245
public_wifi,73,충청남도,보령시,93780.0,262,27.937726594156533,27.937726594156533,18.68082122001356
public_wifi,35,충청남도,부여군,59550.0,261,43.8287153652393,43.8287153652393,29.72647004882637
public_wifi,161,충청남도,서산시,174445.0,150,8.598698730258821,8.598698730258821,5.238478924488469
public_wifi,112,충청남도,서천군,48204.0,93,19.293004729897934,19.293004729897934,12.671971593921075
public_wifi,199,충청남도,아산시,355014.0,169,4.760375647157577,4.760375647157577,2.570503414706918
public_wifi,167,충청남도,예산군,78772.0,62,7.870817041588381,7.870817041588381,4.732536491465837
public_wifi,204,충청남도,천안시,659920.0,277,4.197478482240271,4.197478482240271,2.179239881645643
public_wifi,19,충청남도,청양군,29658.0,195,65.74954481084362,65.74954481084362,44.96339379098232
public_wifi,33,충청남도,태안군,60133.0,284,47.22864317429698,47.22864317429698,32.08972189949187
public_wifi,146,충청남도,홍성군,99198.0,111,11.189741728663885,11.189741728663885,7.039483976660968
public_wifi,48,충청북도,괴산군,36252.0,130,35.86009047776675,35.86009047776675,24.187567880842362
public_wifi,24,충청북도,단양군,27352.0,158,57.765428487861946,57.765428487861946,39.413723699179805
public_wifi,46,충청북도,보은군,30527.0,111,36.36125397189373,36.36125397189373,24.535921028761067
public_wifi,72,충청북도,영동군,43551.0,122,28.01313402677321,28.01313402677321,18.73323608429701
public_wifi,26,충청북도,옥천군,48204.0,274,56.84175587088208,56.84175587088208,38.77168917842575
public_wifi,176,충청북도,음성군,91236.0,62,6.795563154894998,6.795563154894998,3.9851395229497024
public_wifi,76,충청북도,제천시,128569.0,355,27.611632664172546,27.611632664172546,18.45415697100439
public_wifi,29,충청북도,증평군,37171.0,194,52.19122434155659,52.19122434155659,35.53915664818276
public_wifi,53,충청북도,진천군,86537.0,297,34.32057963645608,34.32057963645608,23.11747108785916
public_wifi,179,충청북도,청주시,854537.0,548,6.41282940352495,6.41282940352495,3.719105566632228
public_wifi,151,충청북도,충주시,207241.0,206,9.940118026838318,9.940118026838318,6.170884496958119
